Corpus,Type,TTR,MATTR,Char Entr,Word Entr,Text Entr,Lex Entr,Rev Lex Entr
id,nat,5.804405920715581,0.7000903537521423,4.070997325634425,11.148131208425465,3.5956895417637296,1.944459080696106,1.9846588373184204
tl,nat,7.498319228183428,0.609710032312572,3.894601916920792,9.976461518211735,3.5444143818270777,1.88133442401886,1.9228765964508057
tr,nat,13.993292204495452,0.8276522062932673,4.38697114010844,13.166179132132095,4.257474246777986,1.561814546585083,1.6623018980026243
en,nat,6.025770221931612,0.6977442158193956,4.166890369471783,10.690033401108444,4.138778813680013,1.916237473487854,1.9650911092758176
de,nat,12.010972493380658,0.7692925572022363,4.230064300946029,11.598005368503948,4.002635180950165,1.61268150806427,1.695224046707153
fr,nat,7.304847898361983,0.7210234130485141,4.177654248936944,10.715771439407636,3.625465700703282,1.787923812866211,1.8748486042022705
eo,con,10.589733964319342,0.692378221511384,4.164255796402292,10.920602081314424,3.9097506615423385,1.788267970085144,1.8931946754455569
lfn,con,5.083458821357054,0.6009482658429861,3.912138978287033,9.320495113453878,4.059734563827515,2.0007994174957275,2.111598491668701
ia,con,6.795856609010167,0.5968374980762992,4.030915732904872,9.935302582360933,3.7620855649312337,1.8349664211273196,1.910784125328064
io,con,3.677264713212737,0.566817655159467,4.083562225436652,8.296066122673977,1.1530877266611372,1.981078505516052,2.089007616043091
pl,nat,14.665895373935948,0.8257832686049094,4.553058764941028,12.91849113073629,4.255496992005242,1.661658525466919,1.6826896667480469
vi,nat,1.7477433955761783,0.7342171194156195,4.85587942660858,9.714468956889972,3.9136154760013926,2.41031551361084,2.404275417327881
fi,nat,20.40480062277019,0.8434598399756005,4.145226749121846,13.773463711512925,4.176138336008245,1.5426409244537354,1.6535274982452393
it,nat,8.470078185337096,0.7646877572533588,4.029247580286102,11.328108675727568,4.18452362716198,1.677036166191101,1.7868170738220217
af,nat,6.836003907782487,0.6449095687549812,4.070472441167276,9.977933582703598,3.66692312558492,1.831719160079956,1.8997278213500977
nl,nat,8.48991146085739,0.6942039495547178,4.117142904660357,10.604473870383622,3.994206890463829,1.80769944190979,1.8648027181625368
es,nat,7.16741822478434,0.6764083436426269,4.046697810042197,10.374388784363354,3.5059091965357463,1.7794601917266846,1.8692058324813845
oc,nat,6.997489138060482,0.7164350946407845,4.174443806452941,10.533685448585675,2.9025070590357624,1.8694989681243896,1.9453765153884888
da,nat,10.41984304156583,0.7380776202449196,4.195687748475481,11.276504840116283,4.629607319831848,1.786203145980835,1.866665720939636
sv,nat,11.060649417382823,0.7564241982216907,4.296908360574168,11.515249439534278,4.35468003244111,1.7739126682281494,1.8263521194458008
is,nat,11.691284729006442,0.7466576755122145,4.46854106923228,11.526934650284192,4.694504544138908,1.739473819732666,1.8095911741256716
hu,nat,16.122789014650927,0.7777196742857508,4.544243276462967,12.478133865278824,4.617505537139045,1.6623327732086182,1.7198702096939087
