corpus	TTR	MATTR	Char Entr	Word Entr
eo	10.589733964319342	0.692378221511384	4.164255796402292	10.920602081314424
tr	13.993292204495452	0.8276522062932673	4.3869711401084395	13.166179132132097
is	11.691284729006442	0.7466576755122145	4.4685410692322804	11.526934650284192
da	10.41984304156583	0.7380776202449196	4.195687748475481	11.276504840116285
lfn	5.083458821357054	0.6009482658429861	3.9121389782870333	9.320495113453878
en	6.025770221931612	0.6977442158193956	4.1668903694717825	10.690033401108444
tl	7.498319228183428	0.609710032312572	3.8946019169207915	9.976461518211735
nl	8.48991146085739	0.6942039495547178	4.117142904660357	10.604473870383622
oc	6.997489138060482	0.7164350946407845	4.174443806452941	10.533685448585675
pl	14.665895373935948	0.8257832686049094	4.553058764941028	12.91849113073629
vi	1.7477433955761783	0.7342171194156195	4.85587942660858	9.714468956889972
sv	11.060649417382823	0.7564241982216907	4.296908360574168	11.515249439534278
de	12.010972493380658	0.7692925572022363	4.230064300946029	11.598005368503948
ia	6.795856609010167	0.5968374980762992	4.030915732904872	9.935302582360931
hu	16.122789014650927	0.7777196742857508	4.544243276462967	12.478133865278823
af	6.836003907782487	0.6449095687549812	4.070472441167276	9.977933582703598
es	7.16741822478434	0.6764083436426269	4.046697810042197	10.374388784363354
fi	20.40480062277019	0.8434598399756005	4.145226749121846	13.773463711512923
it	8.470078185337096	0.7646877572533588	4.029247580286102	11.328108675727567
io	3.677264713212737	0.566817655159467	4.083562225436652	8.296066122673977
fr	7.304847898361983	0.7210234130485141	4.1776542489369435	10.715771439407636
id	5.804405920715581	0.7000903537521423	4.070997325634425	11.148131208425463
