,Corpus,Isolation Forest Scores,One-Class SVM Scores
0,eo,0.07919716313468395,4.2684726453190436e-05
1,nl,0.09723420609764005,3.0627549622908035e-05
2,is,0.06369300663533106,1.3964321568860072e-05
3,pl,0.00451544007780269,0.00016567229020747476
4,fr,0.06695150016671075,0.00021675929217401801
5,vo,-0.05154669233272313,-0.00011754829194354777
6,af,0.08234775909866338,1.5827160481762803e-05
7,vi,-0.07152839660994081,-2.064509452281982e-09
8,oc,0.06695150016671075,0.00011723781846950665
9,en,0.08053312375327049,0.00012173231201040302
10,it,0.09723420609764005,0.00028995882081006563
11,ia,0.08234775909866338,4.3831202558353155e-05
12,sv,0.031073610413151598,3.4376987140039006e-05
13,lfn,-0.013546320233408182,-2.4871237773282928e-05
14,da,0.031073610413151598,2.4555378719259835e-06
15,hu,0.02552791803708565,2.39666502301894e-05
16,id,0.02552791803708565,5.596392873852274e-05
17,tl,0.011830549353982756,1.565171609607674e-05
18,tr,0.00451544007780269,0.0001713739451749685
19,io,-0.05154669233272313,-8.271036013263178e-05
20,es,0.047657883680742696,0.00020264978437278813
21,fi,-0.013546320233408182,1.4195622455304147e-09
22,de,0.047657883680742696,7.031866204010306e-05
23,avk,-0.05154669233272313,-0.00016647563347116368
